index,vcenter,vrange,vmin,vmax,num_of_features,a_fitness,training_score,test_score
00,2.0,+0.0,,,,,,
01,2.0,+0.4,1.8,2.2,78,0.6787,0.7010,0.7914
02,2.0,+0.8,1.6,2.4,78,0.7026,0.7308,0.6783
03,2.0,+1.2,1.4,2.6,79,0.6896,0.7159,0.7367
04,2.0,+1.6,1.2,2.8,72,0.6850,0.7010,0.7914
05,2.0,+2.0,1.0,3.0,80,0.6926,0.7211,0.7183
06,2.0,+2.4,0.8,3.2,79,0.6814,0.7057,0.7733
07,2.0,+2.8,0.6,3.4,74,0.7068,0.7308,0.6783
08,2.0,+3.2,0.4,3.6,79,0.7093,0.7406,0.6350
09,2.0,+3.6,0.2,3.8,78,0.6825,0.7057,0.7733
10,2.0,+4.0,0.0,4.0,72,0.7089,0.7308,0.6783
11,2.0,+4.4,-0.2,4.2,79,0.6937,0.7211,0.7183
12,2.0,+4.8,-0.4,4.4,74,0.7300,0.7599,0.5600
13,2.0,+5.2,-0.6,4.6,78,0.6788,0.7012,0.8533
14,2.0,+5.6,-0.8,4.8,70,0.7110,0.7308,0.6783
15,2.0,+6.0,-1.0,5.0,71,0.6861,0.7010,0.7914
16,2.0,+6.4,-1.2,5.2,70,0.6871,0.7010,0.7914
17,2.0,+6.8,-1.4,5.4,74,0.7068,0.7308,0.6783
18,2.0,+7.2,-1.6,5.6,79,0.7054,0.7357,0.6567
19,2.0,+7.6,-1.8,5.8,67,0.6981,0.7108,0.7550
